2019-09-18 10:15:40,560 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_default') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:41,120 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/button_send') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:41,651 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:42,758 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:42,822 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('xpath', "//*[contains(@text,'修改')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:43,513 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:44,689 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_receipt_name')元素方法
2019-09-18 10:15:46,034 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_receipt_name')元素输入杜甫
2019-09-18 10:15:47,022 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_phone') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:47,542 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_add_phone')元素方法
2019-09-18 10:15:48,540 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_add_phone')元素输入13078945612
2019-09-18 10:15:49,455 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_province') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:51,033 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'广东')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:52,166 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'广州')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:53,250 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'天河')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:53,335 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_detail_addr_info') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:53,970 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_detail_addr_info')元素方法
2019-09-18 10:15:55,180 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_detail_addr_info')元素输入黄鹤楼88号
2019-09-18 10:15:55,907 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_post_code') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:56,425 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_post_code')元素方法
2019-09-18 10:15:57,311 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_post_code')元素输入100000
2019-09-18 10:15:58,237 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/button_send') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:58,820 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:59,821 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:59,963 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:00,015 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('xpath', "//*[contains(@text,'删除')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:00,702 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymdialog_left_button') 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:01,649 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:02,766 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('xpath', "//*[contains(@text,'删除')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:03,471 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymdialog_left_button') 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:04,335 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:05,468 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('xpath', "//*[contains(@text,'删除')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:06,150 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymdialog_left_button') 持续时间: 30 查找频率: 0.2
2019-09-18 10:16:07,053 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 2 查找频率: 0.2
2019-09-18 11:59:14,384 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="812d3253-0954-4820-bb5a-c699584829e8")>
2019-09-18 11:59:14,384 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="812d3253-0954-4820-bb5a-c699584829e8")>
2019-09-18 11:59:14,384 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/img_close') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:14,915 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/tab_me') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:16,760 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/textView1') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:18,393 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_account_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:18,956 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_account_textview')元素方法
2019-09-18 11:59:19,908 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_account_textview')元素输入13478603122
2019-09-18 11:59:20,564 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_password_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:21,103 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_password_textview')元素方法
2019-09-18 11:59:23,072 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_password_textview')元素输入123456
2019-09-18 11:59:23,657 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_button') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:26,218 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:26,281 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/setting_address_manage') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:28,251 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_new_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:29,541 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:30,744 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_receipt_name')元素方法
2019-09-18 11:59:32,063 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_receipt_name')元素输入recipient
2019-09-18 11:59:32,743 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_phone') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:32,791 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_add_phone')元素方法
2019-09-18 11:59:33,963 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_add_phone')元素输入mobile
2019-09-18 11:59:34,628 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_province') 持续时间: 30 查找频率: 0.2
2019-09-18 11:59:36,177 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'pro')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:20,366 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="3ddcf648-88b8-4433-8f4f-4b769d51324a")>
2019-09-18 12:01:20,366 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="3ddcf648-88b8-4433-8f4f-4b769d51324a")>
